United States	220044	1847	0.84
China	159000	119000	75.20
Russia	105000	54054	51.48
India	68584	64244	93.75
Canada	49422	129	0.20
Germany	40625	22500	55.38
Argentina	36966	190	0.51
Australia	33168	3393	10.23
Brazil	29817	9025	30.27
France	27483	16067	58.46
Japan	27311	20534	75.19
Italy	24567	12205	81.17
Mexico	23389	802.7	3.43
South Africa	20953	7413	46.51
Romania	20077	6600	30.42
Ukraine	19787	9319	46.78
Poland	19576	12236	62.51
Iran	16998	2200	12.94
Spain	16355	11127	68.03
United Kingdom	16179	6065	37.49
Kazakhstan	15530	4200	27.04
Turkey	13128	6244	47.60
Myanmar	11025	0	0.00
Sweden	10912	8186	75.02
Czech Republic	9567	3237	33.84
Indonesia	8260	621	7.51
Hungary	7945	2889	36.36
Pakistan	7791	27.1	0.34
Egypt	7024	62	0.88
Chile	6634	0	0.00
Sudan	6084	0	0.00
Finland	5926	3270	55.18
North Korea	5735	3894	61.03
Saudi Arabia	5590	453	8.10
Cuba	5476	0	0.00
Belarus	5459	874	16.01
Switzerland	5317	5317	100.00
Turkmenistan	5080	0	0.00
Austria	4859	3650	75.12
South Korea	4837	3787	78.29
Uzbekistan	4669	2500	38.65
Algeria	4560	480	10.53
Norway	4240	2895	68.30
New Zealand	4128	506	12.26
DR Congo	4096	852	11.20
Thailand	4044	107	2.18
Bulgaria	4029	3005	74.58
Serbia	3764	1279	33.98
Slovakia	3626	1587	43.77
Portugal	3622	1791	49.45
Belgium	3607	2960	82.06
Bangladesh	3600	0	0.00
Nigeria	3600	0	0.00
Vietnam	3315	0	0.00
Mozambique	3249	0	0.00
Zimbabwe	3136	313	9.98
Netherlands	3055	2314	75.74
Uruguay	2993	0	0.00
Bolivia	2866	0	0.00
Malaysia	2783	767	27.56
Angola	2761	0	0.00
Syria	2750	0	0.00
Tanzania	2600	440	15.40
Croatia	2604	985	37.83
Kenya	2541	0	0.00
Namibia	2382	0	0.00
Greece	2240	764	34.11
Ethiopia	2185	1401	64.12
Tunisia	2165	0	0.00
Morocco	2109	1022	48.46
Azerbaijan	2068	1278	61.80
Iraq	2032	0	0.00
Peru	2020	0	0.00
Denmark	2610	964	32.21
Lithuania	1910	156	6.38
Latvia	1860	257	13.82
Mongolia	1810	0	0.00
Taiwan	1782	1300	72.95
Ireland	1680	53	3.15
Colombia	1663	0	0.00
Georgia	1576	1288	81.73
Sri Lanka	1561	0	0.00
Israel	1511	250	16.55
Uganda	1244	0	0.00
Zambia	1237	0	0.00
Slovenia	1209	503	41.60
Estonia	1161	132	11.37
Moldova	1151	0	0.00
Bosnia and Herzegovina	1018	565	55.50
Cameroon	977	0	0.00
Ecuador	966	0	0.00
Ghana	953	0	0.00
Senegal	906	0	0.00
United Arab Emirates	900	0	0.00
Botswana	888	0	0.00
Guatemala	1.6	0	0.00
Madagascar	848	0	0.00
Guinea	837	0	0.00
Gabon	810	0	0.00
Malawi	797	0	0.00
Congo	795	0	0.00
Benin	758	0	0.00
Mali	729	0	0.00
Mauritania	728	0	0.00
Armenia	703	703	100.00
Honduras	699	0	0.00
North Macedonia	683	313	45.83
Cambodia	650	0	0.00
Ivory Coast	639	0	0.00
Burkina Faso	622	0	0.00
Jordan	622	0	0.00
Tajikistan	616	0	0.00
Fiji	597	0	0.00
Togo	568	0	0.00
El Salvador	562	0	0.00
Philippines	532	53	10.01
Dominican Republic	517	0	0.00
Liberia	490	0	0.00
Laos	424	414	97.64
Kyrgyzstan	417	0	0.00
Panama	355	0	0.00
Venezuela	336	0	0.00
Albania	334	0	0.00
Eritrea	306	0	0.00
Eswatini	301	0	0.00
Costa Rica	278	0	0.00
Luxembourg	275	275	100.00
Hong Kong	268	268	100.00
Montenegro	250	225	90.00
South Sudan	248	0	0.00
Singapore	241	241	100.00
Suriname	166	0	0.00
Niger	143	0	0.00
Guyana	127	0	0.00
Djibouti	92	0	0.00
Sierra Leone	84	0	0.00
Qatar	82	82	100.00
Afghanistan	75	0	0.00
Jamaica	65	0	0.00
Saint Kitts and Nevis	58	0	0.00
Nepal	57	0	0.00
Paraguay	38	0	0.00
Mauritius	30	30	100.00
Puerto Rico	17	17	100.00
Brunei	13	0	0.00
Macau	13	13	100.00
Liechtenstein	9	9	100.00
Nauru	3.9	0	0.00
Monaco	1.7	1.7	100.00
Lesotho	1.6	0	0.00
Vatican City	0.3	0	0.00
